Tiempos de Espera - Observation Histogram
procesed = 7050
mean = 0.694944	variance = 10.1234	sd = 3.18173
minX = 0	maxX = 42.2449
minY = 1	maxY = 6519

       0      6519
0.00844898         0
0.016898         0
0.0253469         0
0.0337959         0
0.0422449         0
0.0506939         0
0.0591428         0
0.0675918         1
0.0760408         1
0.0844898         0
0.0929387         1
0.101388         0
0.109837         0
0.118286         0
0.126735         1
0.135184         1
0.143633         0
0.152082         0
0.160531         0
 0.16898         0
0.177428         0
0.185877         0
0.194326         2
0.202775         0
0.211224         0
0.219673         1
0.228122         0
0.236571         1
 0.24502         0
0.253469         1
0.261918         2
0.270367         1
0.278816         0
0.287265         0
0.295714         0
0.304163         0
0.312612         0
0.321061         1
 0.32951         0
0.337959         0
0.346408         0
0.354857         0
0.363306         0
0.371755         0
0.380204         0
0.388653         0
0.397102         2
0.405551         0
   0.414         0
0.422449         1
0.430898         0
0.439347         0
0.447796         0
0.456245         0
0.464694         0
0.473143         1
0.481592         0
0.490041         0
 0.49849         1
0.506939         0
0.515388         1
0.523837         0
0.532285         0
0.540734         1
0.549183         1
0.557632         0
0.566081         1
 0.57453         0
0.582979         0
0.591428         0
0.599877         1
0.608326         0
0.616775         0
0.625224         1
0.633673         0
0.642122         0
0.650571         0
 0.65902         0
0.667469         1
0.675918         2
0.684367         0
0.692816         0
0.701265         2
0.709714         0
0.718163         1
0.726612         0
0.735061         0
 0.74351         1
0.751959         0
0.760408         0
0.768857         2
0.777306         0
0.785755         2
0.794204         1
0.802653         1
0.811102         1
0.819551         0
   0.828         0
0.836449         0
0.844898         0
0.853347         0
0.861796         1
0.870245         0
0.878694         0
0.887142         0
0.895591         0
 0.90404         0
0.912489         0
0.920938         1
0.929387         1
0.937836         0
0.946285         1
0.954734         0
0.963183         0
0.971632         0
0.980081         0
 0.98853         0
0.996979         0
 1.00543         1
 1.01388         0
 1.02233         0
 1.03078         0
 1.03922         0
 1.04767         0
 1.05612         2
 1.06457         1
 1.07302         0
 1.08147         2
 1.08992         2
 1.09837         1
 1.10682         0
 1.11526         1
 1.12371         1
 1.13216         1
 1.14061         0
 1.14906         0
 1.15751         0
 1.16596         0
 1.17441         0
 1.18286         0
 1.19131         0
 1.19975         0
  1.2082         0
 1.21665         1
  1.2251         1
 1.23355         0
   1.242         0
 1.25045         0
  1.2589         0
 1.26735         0
  1.2758         0
 1.28424         0
 1.29269         0
 1.30114         0
 1.30959         0
 1.31804         0
 1.32649         1
 1.33494         0
 1.34339         0
 1.35184         0
 1.36029         1
 1.36873         0
 1.37718         0
 1.38563         0
 1.39408         0
 1.40253         0
 1.41098         0
 1.41943         1
 1.42788         0
 1.43633         1
 1.44477         0
 1.45322         1
 1.46167         1
 1.47012         0
 1.47857         1
 1.48702         0
 1.49547         0
 1.50392         0
 1.51237         1
 1.52082         1
 1.52926         0
 1.53771         0
 1.54616         0
 1.55461         0
 1.56306         0
 1.57151         1
 1.57996         0
 1.58841         0
 1.59686         0
 1.60531         0
 1.61375         1
  1.6222         0
 1.63065         0
  1.6391         0
 1.64755         0
   1.656         0
 1.66445         1
  1.6729         0
 1.68135         0
  1.6898         0
 1.69824         1
 1.70669         2
 1.71514         0
 1.72359         0
 1.73204         0
 1.74049         0
 1.74894         0
 1.75739         1
 1.76584         0
 1.77428         0
 1.78273         0
 1.79118         0
 1.79963         1
 1.80808         0
 1.81653         0
 1.82498         1
 1.83343         0
 1.84188         0
 1.85033         0
 1.85877         0
 1.86722         0
 1.87567         0
 1.88412         1
 1.89257         0
 1.90102         0
 1.90947         1
 1.91792         0
 1.92637         0
 1.93482         0
 1.94326         1
 1.95171         1
 1.96016         0
 1.96861         0
 1.97706         0
 1.98551         0
 1.99396         0
 2.00241         0
 2.01086         0
 2.01931         0
 2.02775         0
  2.0362         1
 2.04465         1
  2.0531         0
 2.06155         0
    2.07         0
 2.07845         1
  2.0869         2
 2.09535         0
  2.1038         0
 2.11224         0
 2.12069         0
 2.12914         1
 2.13759         0
 2.14604         0
 2.15449         0
 2.16294         0
 2.17139         0
 2.17984         0
 2.18828         0
 2.19673         0
 2.20518         0
 2.21363         0
 2.22208         0
 2.23053         1
 2.23898         0
 2.24743         0
 2.25588         0
 2.26433         1
 2.27277         0
 2.28122         0
 2.28967         1
 2.29812         0
 2.30657         0
 2.31502         0
 2.32347         0
 2.33192         0
 2.34037         0
 2.34882         0
 2.35726         3
 2.36571         0
 2.37416         1
 2.38261         0
 2.39106         0
 2.39951         0
 2.40796         0
 2.41641         0
 2.42486         0
 2.43331         2
 2.44175         0
  2.4502         2
 2.45865         0
  2.4671         0
 2.47555         1
   2.484         0
 2.49245         0
  2.5009         1
 2.50935         0
 2.51779         0
 2.52624         0
 2.53469         0
 2.54314         0
 2.55159         0
 2.56004         1
 2.56849         0
 2.57694         1
 2.58539         0
 2.59384         0
 2.60228         0
 2.61073         0
 2.61918         0
 2.62763         1
 2.63608         1
 2.64453         2
 2.65298         0
 2.66143         0
 2.66988         0
 2.67833         0
 2.68677         0
 2.69522         0
 2.70367         0
 2.71212         0
 2.72057         0
 2.72902         0
 2.73747         2
 2.74592         0
 2.75437         1
 2.76282         0
 2.77126         0
 2.77971         0
 2.78816         0
 2.79661         0
 2.80506         0
 2.81351         0
 2.82196         2
 2.83041         0
 2.83886         1
  2.8473         0
 2.85575         0
  2.8642         0
 2.87265         1
  2.8811         0
 2.88955         0
   2.898         0
 2.90645         0
  2.9149         0
 2.92335         0
 2.93179         1
 2.94024         3
 2.94869         0
 2.95714         1
 2.96559         1
 2.97404         1
 2.98249         0
 2.99094         0
 2.99939         0
 3.00784         0
 3.01628         0
 3.02473         1
 3.03318         0
 3.04163         0
 3.05008         0
 3.05853         1
 3.06698         0
 3.07543         0
 3.08388         1
 3.09233         0
 3.10077         1
 3.10922         0
 3.11767         2
 3.12612         0
 3.13457         1
 3.14302         1
 3.15147         0
 3.15992         0
 3.16837         0
 3.17681         1
 3.18526         0
 3.19371         0
 3.20216         0
 3.21061         0
 3.21906         0
 3.22751         0
 3.23596         0
 3.24441         1
 3.25286         0
  3.2613         1
 3.26975         1
  3.2782         0
 3.28665         0
  3.2951         0
 3.30355         0
   3.312         0
 3.32045         0
  3.3289         0
 3.33735         1
 3.34579         1
 3.35424         0
 3.36269         0
 3.37114         1
 3.37959         0
 3.38804         0
 3.39649         0
 3.40494         0
 3.41339         0
 3.42184         0
 3.43028         0
 3.43873         0
 3.44718         0
 3.45563         0
 3.46408         1
 3.47253         0
 3.48098         2
 3.48943         0
 3.49788         0
 3.50633         0
 3.51477         0
 3.52322         0
 3.53167         0
 3.54012         0
 3.54857         0
 3.55702         1
 3.56547         0
 3.57392         1
 3.58237         0
 3.59081         0
 3.59926         0
 3.60771         0
 3.61616         1
 3.62461         0
 3.63306         0
 3.64151         1
 3.64996         0
 3.65841         0
 3.66686         0
  3.6753         1
 3.68375         0
  3.6922         0
 3.70065         0
  3.7091         0
 3.71755         1
   3.726         0
 3.73445         1
  3.7429         1
 3.75135         0
 3.75979         0
 3.76824         0
 3.77669         0
 3.78514         2
 3.79359         1
 3.80204         0
 3.81049         1
 3.81894         0
 3.82739         0
 3.83584         0
 3.84428         0
 3.85273         0
 3.86118         3
 3.86963         0
 3.87808         0
 3.88653         1
 3.89498         0
 3.90343         0
 3.91188         0
 3.92032         1
 3.92877         1
 3.93722         0
 3.94567         0
 3.95412         0
 3.96257         1
 3.97102         0
 3.97947         0
 3.98792         0
 3.99637         1
 4.00481         1
 4.01326         0
 4.02171         0
 4.03016         0
 4.03861         0
 4.04706         1
 4.05551         0
 4.06396         0
 4.07241         0
 4.08086         0
  4.0893         1
 4.09775         0
  4.1062         0
 4.11465         0
  4.1231         0
 4.13155         0
    4.14         0
 4.14845         0
  4.1569         0
 4.16535         0
 4.17379         0
 4.18224         0
 4.19069         0
 4.19914         0
 4.20759         0
 4.21604         0
 4.22449         0
 4.23294         0
 4.24139         0
 4.24983         0
 4.25828         0
 4.26673         2
 4.27518         0
 4.28363         0
 4.29208         1
 4.30053         1
 4.30898         0
 4.31743         0
 4.32588         0
 4.33432         0
 4.34277         1
 4.35122         0
 4.35967         0
 4.36812         0
 4.37657         0
 4.38502         2
 4.39347         0
 4.40192         0
 4.41037         0
 4.41881         1
 4.42726         0
 4.43571         1
 4.44416         0
 4.45261         0
 4.46106         1
 4.46951         2
 4.47796         0
 4.48641         0
 4.49486         0
  4.5033         1
 4.51175         0
  4.5202         0
 4.52865         0
  4.5371         0
 4.54555         0
   4.554         0
 4.56245         3
  4.5709         0
 4.57935         0
 4.58779         0
 4.59624         0
 4.60469         0
 4.61314         1
 4.62159         0
 4.63004         0
 4.63849         0
 4.64694         0
 4.65539         1
 4.66383         0
 4.67228         0
 4.68073         0
 4.68918         0
 4.69763         0
 4.70608         1
 4.71453         0
 4.72298         0
 4.73143         0
 4.73988         0
 4.74832         0
 4.75677         1
 4.76522         1
 4.77367         0
 4.78212         1
 4.79057         0
 4.79902         0
 4.80747         1
 4.81592         0
 4.82437         0
 4.83281         0
 4.84126         0
 4.84971         0
 4.85816         1
 4.86661         0
 4.87506         0
 4.88351         0
 4.89196         0
 4.90041         0
 4.90886         1
  4.9173         1
 4.92575         0
  4.9342         0
 4.94265         1
  4.9511         0
 4.95955         1
   4.968         0
 4.97645         0
  4.9849         0
 4.99334         0
 5.00179         0
 5.01024         0
 5.01869         0
 5.02714         0
 5.03559         0
 5.04404         0
 5.05249         0
 5.06094         0
 5.06939         1
 5.07783         0
 5.08628         0
 5.09473         1
 5.10318         0
 5.11163         0
 5.12008         0
 5.12853         0
 5.13698         0
 5.14543         0
 5.15388         1
 5.16232         0
 5.17077         1
 5.17922         0
 5.18767         0
 5.19612         0
 5.20457         0
 5.21302         0
 5.22147         1
 5.22992         0
 5.23837         0
 5.24681         0
 5.25526         0
 5.26371         1
 5.27216         0
 5.28061         0
 5.28906         0
 5.29751         0
 5.30596         0
 5.31441         2
 5.32285         0
  5.3313         0
 5.33975         1
  5.3482         0
 5.35665         1
  5.3651         0
 5.37355         0
   5.382         0
 5.39045         0
  5.3989         0
 5.40734         0
 5.41579         0
 5.42424         0
 5.43269         0
 5.44114         0
 5.44959         0
 5.45804         0
 5.46649         1
 5.47494         0
 5.48339         1
 5.49183         1
 5.50028         0
 5.50873         2
 5.51718         0
