Largos de la Cola vs Tiempo - Time Series Histogram
procesed = 246654
mean = 8841.51	variance = 6.5811e+006	sd = 2565.37
minX = 0	maxX = 12501
minY = 0	maxY = 128.847

       0         0
  2.5002         0
  5.0004         0
  7.5006         0
 10.0008         0
  12.501         0
 15.0012         0
 17.5014         0
 20.0016         0
 22.5018         0
  25.002         0
 27.5022         0
 30.0024         0
 32.5026         0
 35.0028         0
  37.503         0
 40.0032         0
 42.5034         0
 45.0036         0
 47.5038         0
  50.004         0
 52.5042         0
 55.0044         0
 57.5046         0
 60.0048         0
  62.505         0
 65.0052         0
 67.5054         0
 70.0056         0
 72.5058         0
  75.006         0
 77.5062         0
 80.0064         0
 82.5066         0
 85.0068         0
  87.507         0
 90.0072         0
 92.5074         0
 95.0076         0
 97.5078         0
 100.008         0
 102.508         0
 105.008         0
 107.509         0
 110.009         0
 112.509         0
 115.009         0
 117.509         0
  120.01         0
  122.51         0
  125.01         0
  127.51         0
  130.01         0
 132.511         0
 135.011         0
 137.511         0
 140.011         0
 142.511         0
 145.012         0
 147.512         0
 150.012         0
 152.512         0
 155.012         0
 157.513         0
 160.013         0
 162.513         0
 165.013         0
 167.513         0
 170.014         0
 172.514         0
 175.014         0
 177.514         0
 180.014         0
 182.515         0
 185.015         0
 187.515         0
 190.015         0
 192.515         0
 195.016         0
 197.516         0
 200.016         0
 202.516         0
 205.016         0
 207.517         0
 210.017         0
 212.517         0
 215.017         0
 217.517         0
 220.018         0
 222.518         0
 225.018         0
 227.518         0
 230.018         0
 232.519         0
 235.019         0
 237.519         0
 240.019         0
 242.519         0
  245.02         0
  247.52         0
  250.02         0
  252.52         0
  255.02         0
 257.521         0
 260.021         0
 262.521         0
 265.021         0
 267.521         0
 270.022         0
 272.522         0
 275.022         0
 277.522         0
 280.022         0
 282.523         0
 285.023         0
 287.523         0
 290.023         0
 292.523         0
 295.024         0
 297.524         0
 300.024         0
 302.524         0
 305.024         0
 307.525         0
 310.025         0
 312.525         0
 315.025         0
 317.525         0
 320.026         0
 322.526         0
 325.026         0
 327.526         0
 330.026         0
 332.527         0
 335.027         0
 337.527         0
 340.027         0
 342.527         0
 345.028         0
 347.528         0
 350.028         0
 352.528         0
 355.028         0
 357.529         0
 360.029         0
 362.529         0
 365.029         0
 367.529         0
  370.03         0
  372.53         0
  375.03         0
  377.53         0
  380.03         0
 382.531         0
 385.031         0
 387.531         0
 390.031         0
 392.531         0
 395.032         0
 397.532         0
 400.032         0
 402.532         0
 405.032         0
 407.533         0
 410.033         0
 412.533         0
 415.033         0
 417.533         0
 420.034         0
 422.534         0
 425.034         0
 427.534         0
 430.034         0
 432.535         0
 435.035         0
 437.535         0
 440.035         0
 442.535         0
 445.036         0
 447.536         0
 450.036         0
 452.536         0
 455.036         0
 457.537         0
 460.037         0
 462.537         0
 465.037         0
 467.537         0
 470.038         0
 472.538         0
 475.038         0
 477.538  0.00678976
 480.038  0.00452651
 482.539  0.00678976
 485.039  0.00452651
 487.539  0.00678976
 490.039  0.00452651
 492.539  0.00678976
  495.04  0.00452651
  497.54  0.00678976
  500.04  0.00431436
  502.54  0.0150067
  505.04  0.0236778
 507.541  0.0355167
 510.041  0.0236778
 512.541  0.0355167
 515.041  0.0236778
 517.541  0.258898
 520.042  0.190397
 522.542  0.401159
 525.042  0.312278
 527.542  0.523394
 530.042  0.377574
 532.543  0.566361
 535.043  0.479463
 537.543  0.719195
 540.043  0.524087
 542.543  0.853067
 545.044  0.593276
 547.544   0.92676
 550.044  0.643056
 552.544  0.977775
 555.044  0.662444
 557.545  0.993666
 560.045  0.676334
 562.545    1.0145
 565.045  0.708756
 567.545   1.08137
 570.046  0.720915
 572.546   1.12574
 575.046   0.75049
 577.546   1.13898
 580.046  0.763732
 582.547   1.14142
 585.047  0.756515
 587.547   1.14674
 590.047  0.788044
 592.547   1.19581
 595.048  0.802104
 597.548   1.20762
 600.048  0.805082
 602.548   1.22756
 605.048  0.838037
 607.549   1.27131
 610.049  0.847538
 612.549   1.27131
 615.049  0.924354
 617.549   1.41815
  620.05  0.985862
  622.55   1.51116
  625.05   1.00744
  627.55   1.51116
  630.05   1.00744
 632.551   1.63494
 635.051   1.27142
 637.551   1.95717
 640.051   1.33864
 642.551   2.07487
 645.052   1.40555
 647.552   2.23315
 650.052   1.54264
 652.552   2.41167
 655.052   1.61737
 657.553   2.48337
 660.053   1.66725
 662.553   2.55801
 665.053   1.70534
 667.553   2.55801
 670.054   1.70534
 672.554   2.55801
 675.054   1.70534
 677.554   2.71225
 680.054   1.85958
 682.555   2.84542
 685.055   1.89695
 687.555   2.84542
 690.055   1.97989
 692.555   2.98512
 695.056   1.99008
 697.556   2.98512
 700.056   2.05747
 702.556   3.18729
 705.056   2.19848
 707.557   3.30552
 710.057   2.27854
 712.557   3.43274
 715.057    2.2885
 717.557   3.43274
 720.058    2.3504
 722.558   3.64747
 725.058   2.48977
 727.558   3.73465
 730.058   2.48977
 732.559   3.73465
 735.059   2.60138
 737.559   4.10425
 740.059   2.78609
 742.559   4.23794
  745.06   2.82529
  747.56   4.23794
  750.06   2.82529
  752.56   4.34452
  755.06   3.04327
 757.561   4.56491
 760.061   3.14017
 762.561   4.74717
 765.061   3.17427
 767.561    4.7614
 770.062   3.21776
 772.562   4.82758
 775.062   3.21839
 777.562   4.82758
 780.062   3.21839
 782.563   4.83946
 785.063   3.23027
 787.563   4.84541
 790.063   3.22338
 792.563   4.81651
 795.064   3.20581
 797.564   4.80871
 800.064   3.20581
 802.564   4.79525
 805.064   3.19235
 807.565   4.78852
 810.065   3.19628
 812.565   4.80032
 815.065   3.20022
 817.565    4.7885
 820.066   3.19234
 822.566    4.7885
