Largos de la Cola vs Tiempo - Time Series Histogram
procesed = 1247.84
mean = 5457.19	variance = 1.52713e+006	sd = 1235.77
minX = 0	maxX = 7501
minY = 0	maxY = 0.734935

       0         0
  1.5002         0
  3.0004         0
  4.5006         0
  6.0008         0
   7.501         0
  9.0012         0
 10.5014         0
 12.0016         0
 13.5018         0
  15.002         0
 16.5022         0
 18.0024         0
 19.5026         0
 21.0028         0
  22.503         0
 24.0032         0
 25.5034         0
 27.0036         0
 28.5038         0
  30.004         0
 31.5042         0
 33.0044         0
 34.5046         0
 36.0048         0
  37.505         0
 39.0052         0
 40.5054         0
 42.0056         0
 43.5058         0
  45.006         0
 46.5062         0
 48.0064         0
 49.5066         0
 51.0068         0
  52.507         0
 54.0072         0
 55.5074         0
 57.0076         0
 58.5078         0
  60.008         0
 61.5082         0
 63.0084         0
 64.5086         0
 66.0088         0
  67.509         0
 69.0092         0
 70.5094         0
 72.0096         0
 73.5098         0
   75.01         0
 76.5102         0
 78.0104         0
 79.5106         0
 81.0108         0
  82.511         0
 84.0112         0
 85.5114         0
 87.0116         0
 88.5118         0
  90.012         0
 91.5122         0
 93.0124         0
 94.5126         0
 96.0128         0
  97.513         0
 99.0132         0
 100.513         0
 102.014         0
 103.514         0
 105.014         0
 106.514         0
 108.014         0
 109.515         0
 111.015         0
 112.515         0
 114.015         0
 115.515         0
 117.016         0
 118.516         0
 120.016         0
 121.516         0
 123.016         0
 124.517         0
 126.017         0
 127.517         0
 129.017         0
 130.517         0
 132.018         0
 133.518         0
 135.018         0
 136.518         0
 138.018         0
 139.519         0
 141.019         0
 142.519         0
 144.019         0
 145.519         0
  147.02         0
  148.52         0
  150.02         0
  151.52         0
  153.02         0
 154.521         0
 156.021         0
 157.521         0
 159.021         0
 160.521         0
 162.022         0
 163.522         0
 165.022         0
 166.522         0
 168.022         0
 169.523         0
 171.023         0
 172.523         0
 174.023         0
 175.523         0
 177.024         0
 178.524         0
 180.024         0
 181.524         0
 183.024         0
 184.525         0
 186.025         0
 187.525         0
 189.025         0
 190.525         0
 192.026         0
 193.526         0
 195.026         0
 196.526         0
 198.026         0
 199.527         0
 201.027         0
 202.527         0
 204.027         0
 205.527         0
 207.028         0
 208.528         0
 210.028         0
 211.528         0
 213.028         0
 214.529         0
 216.029         0
 217.529         0
 219.029         0
 220.529         0
  222.03         0
  223.53         0
  225.03         0
  226.53         0
  228.03         0
 229.531         0
 231.031         0
 232.531         0
 234.031         0
 235.531         0
 237.032         0
 238.532         0
 240.032         0
 241.532         0
 243.032         0
 244.533         0
 246.033         0
 247.533         0
 249.033         0
 250.533         0
 252.034         0
 253.534         0
 255.034         0
 256.534         0
 258.034         0
 259.535         0
 261.035         0
 262.535         0
 264.035         0
 265.535         0
 267.036         0
 268.536         0
 270.036         0
 271.536         0
 273.036         0
 274.537         0
 276.037         0
 277.537         0
 279.037         0
 280.537         0
 282.038         0
 283.538         0
 285.038         0
 286.538         0
 288.038         0
 289.539         0
 291.039         0
 292.539         0
 294.039         0
 295.539         0
  297.04         0
  298.54         0
  300.04         0
  301.54         0
  303.04         0
 304.541         0
 306.041         0
 307.541         0
 309.041         0
 310.541         0
 312.042         0
 313.542         0
 315.042         0
 316.542         0
 318.042         0
 319.543         0
 321.043         0
 322.543         0
 324.043         0
 325.543         0
 327.044         0
 328.544         0
 330.044         0
 331.544         0
 333.044         0
 334.545         0
 336.045         0
 337.545         0
 339.045         0
 340.545         0
 342.046         0
 343.546         0
 345.046         0
 346.546         0
 348.046         0
 349.547         0
 351.047         0
 352.547         0
 354.047         0
 355.547         0
 357.048         0
 358.548         0
 360.048         0
 361.548         0
 363.048         0
 364.549         0
 366.049         0
 367.549         0
 369.049         0
 370.549         0
  372.05         0
