Tiempo Espera Global - Observation Histogram
procesed = 14236
mean = 13.3809	variance = 137.55	sd = 11.7282
minX = 0	maxX = 115.276
minY = 1	maxY = 972

       0       972
 1.15276       912
 2.30552       847
 3.45828       774
 4.61104       776
 5.76381       724
 6.91657       639
 8.06933       661
 9.22209       634
 10.3748       584
 11.5276       599
 12.6804       517
 13.8331       513
 14.9859       472
 16.1387       505
 17.2914       451
 18.4442       385
 19.5969       376
 20.7497       302
 21.9025       300
 23.0552       249
  24.208       273
 25.3607       240
 26.5135       188
 27.6663       171
  28.819       146
 29.9718       104
 31.1245        75
 32.2773        51
 33.4301        52
 34.5828        53
 35.7356        45
 36.8884        42
 38.0411        37
 39.1939        31
 40.3466        36
 41.4994        30
 42.6522        26
 43.8049        34
 44.9577        26
 46.1104        32
 47.2632        27
  48.416        39
 49.5687        33
 50.7215        21
 51.8742        27
  53.027        25
 54.1798        28
 55.3325        29
 56.4853        18
 57.6381        19
 58.7908        14
 59.9436         9
 61.0963         9
 62.2491         3
 63.4019         1
 64.5546         7
 65.7074         3
 66.8601         4
 68.0129         2
 69.1657         5
 70.3184         4
 71.4712         3
 72.6239         1
 73.7767         3
 74.9295         2
 76.0822         1
  77.235         0
 78.3878         0
 79.5405         1
 80.6933         2
  81.846         0
 82.9988         4
 84.1516         0
 85.3043         1
 86.4571         1
 87.6098         1
 88.7626         0
 89.9154         1
 91.0681         0
 92.2209         2
 93.3736         0
 94.5264         0
 95.6792         0
 96.8319         0
 97.9847         0
 99.1375         1
  100.29         0
 101.443         0
 102.596         0
 103.748         0
 104.901         0
 106.054         0
 107.207         0
  108.36         0
 109.512         0
 110.665         0
 111.818         0
 112.971         0
 114.123         1
