Tiempo Espera Global - Observation Histogram
procesed = 10852
mean = 13.3309	variance = 142.303	sd = 11.9291
minX = 0	maxX = 97.5138
minY = 1	maxY = 636

       0       636
0.975138       630
 1.95028       566
 2.92542       558
 3.90055       529
 4.87569       482
 5.85083       472
 6.82597       440
 7.80111       388
 8.77625       403
 9.75138       416
 10.7265       386
 11.7017       336
 12.6768       355
 13.6519       350
 14.6271       306
 15.6022       341
 16.5774       293
 17.5525       289
 18.5276       263
 19.5028       215
 20.4779       195
  21.453       179
 22.4282       165
 23.4033       131
 24.3785       136
 25.3536       137
 26.3287       111
 27.3039       112
  28.279        94
 29.2542        71
 30.2293        68
 31.2044        53
 32.1796        48
 33.1547        34
 34.1298        52
  35.105        33
 36.0801        43
 37.0553        19
 38.0304        36
 39.0055        26
 39.9807        22
 40.9558        27
  41.931        29
 42.9061        25
 43.8812        19
 44.8564        23
 45.8315        20
 46.8066        30
 47.7818        28
 48.7569        25
 49.7321        21
 50.7072        19
 51.6823        17
 52.6575        21
 53.6326         8
 54.6077        12
 55.5829         9
  56.558        13
 57.5332        10
 58.5083        20
 59.4834         3
 60.4586         5
 61.4337         4
 62.4089         5
  63.384         4
 64.3591         1
 65.3343         1
 66.3094         4
 67.2845         4
 68.2597         4
 69.2348         0
   70.21         0
 71.1851         0
 72.1602         2
 73.1354         2
 74.1105         0
 75.0857         6
 76.0608         1
 77.0359         3
 78.0111         0
 78.9862         1
 79.9613         0
 80.9365         0
 81.9116         0
 82.8868         0
 83.8619         0
  84.837         0
 85.8122         0
 86.7873         0
 87.7625         1
 88.7376         0
 89.7127         0
 90.6879         0
  91.663         0
 92.6381         1
 93.6133         1
 94.5884         0
 95.5636         0
 96.5387         4
