Tiempo Espera Global - Observation Histogram
procesed = 12232
mean = 13.2808	variance = 132.951	sd = 11.5305
minX = 0	maxX = 75.5817
minY = 1	maxY = 575

       0       575
0.755817       566
 1.51163       508
 2.26745       436
 3.02327       480
 3.77908       465
  4.5349       397
 5.29072       414
 6.04653       370
 6.80235       348
 7.55817       404
 8.31398       346
  9.0698       345
 9.82561       368
 10.5814       336
 11.3372       340
 12.0931       308
 12.8489       318
 13.6047       313
 14.3605       325
 15.1163       300
 15.8721       275
  16.628       264
 17.3838       248
 18.1396       243
 18.8954       245
 19.6512       224
  20.407       172
 21.1629       168
 21.9187       151
 22.6745       161
 23.4303       155
 24.1861       109
 24.9419       129
 25.6978        95
 26.4536       122
 27.2094       110
 27.9652       104
  28.721        83
 29.4768        58
 30.2327        66
 30.9885        44
 31.7443        36
 32.5001        28
 33.2559        27
 34.0117        24
 34.7676        34
 35.5234        16
 36.2792        22
  37.035        21
 37.7908        20
 38.5466        31
 39.3025        19
 40.0583        23
 40.8141        16
 41.5699        17
 42.3257        17
 43.0815        20
 43.8374        18
 44.5932        19
  45.349        13
 46.1048        17
 46.8606        15
 47.6164        16
 48.3723        11
 49.1281        26
 49.8839        15
 50.6397        17
 51.3955        12
 52.1513        18
 52.9072        14
  53.663        17
 54.4188        12
 55.1746         9
 55.9304         8
 56.6862        15
 57.4421        13
 58.1979        10
 58.9537         7
 59.7095        12
 60.4653         8
 61.2211         9
  61.977         3
 62.7328         5
 63.4886         8
 64.2444         4
 65.0002         2
  65.756         4
 66.5119         1
 67.2677         0
 68.0235         0
 68.7793         0
 69.5351         1
 70.2909         0
 71.0468         1
 71.8026         3
 72.5584         3
 73.3142         0
   74.07         4
 74.8258         3
