Tiempo Espera Global - Observation Histogram
procesed = 14286
mean = 13.241	variance = 131.145	sd = 11.4519
minX = 0	maxX = 101.638
minY = 1	maxY = 844

       0       844
 1.01638       818
 2.03275       766
 3.04913       726
 4.06551       703
 5.08188       632
 6.09826       643
 7.11464       611
 8.13102       510
 9.14739       585
 10.1638       573
 11.1801       550
 12.1965       496
 13.2129       451
 14.2293       494
 15.2457       433
  16.262       459
 17.2784       391
 18.2948       381
 19.3112       311
 20.3275       248
 21.3439       234
 22.3603       221
 23.3767       247
  24.393       201
 25.4094       189
 26.4258       190
 27.4422       142
 28.4586       143
 29.4749        95
 30.4913        85
 31.5077        56
 32.5241        62
 33.5404        51
 34.5568        37
 35.5732        36
 36.5896        34
 37.6059        39
 38.6223        50
 39.6387        28
 40.6551        37
 41.6715        37
 42.6878        36
 43.7042        34
 44.7206        23
  45.737        41
 46.7533        28
 47.7697        22
 48.7861        29
 49.8025        23
 50.8188        31
 51.8352        21
 52.8516        17
  53.868        23
 54.8844        14
 55.9007        19
 56.9171        19
 57.9335        15
 58.9499         4
 59.9662         9
 60.9826         3
  61.999         3
 63.0154         7
 64.0317         1
 65.0481         3
 66.0645         1
 67.0809         0
 68.0973         0
 69.1136         0
   70.13         2
 71.1464         0
 72.1628         0
 73.1791         0
 74.1955         0
 75.2119         0
 76.2283         8
 77.2446         0
  78.261         1
 79.2774         4
 80.2938         0
 81.3102         0
 82.3265         0
 83.3429         0
 84.3593         0
 85.3757         0
  86.392         0
 87.4084         0
 88.4248         0
 89.4412         0
 90.4575         0
 91.4739         0
 92.4903         1
 93.5067         0
 94.5231         0
 95.5394         1
 96.5558         0
 97.5722         0
 98.5886         0
 99.6049         0
 100.621         4
